time,total_bandwidth_usage,cpu,bw,n_users,qos
2024-05-18 11:04:38.874000128,15.31,2000.0,25.0,5.0,3.0620000000000003
2024-05-18 11:04:39.874000128,13.99,2000.0,25.0,5.0,2.798
2024-05-18 11:04:40.874000128,15.27,2000.0,25.0,5.0,3.054
2024-05-18 11:04:41.874000128,15.89,2000.0,25.0,5.0,3.178
2024-05-18 11:04:42.874000128,15.35,2000.0,25.0,5.0,3.07
2024-05-18 11:04:43.874000128,15.57,2000.0,25.0,5.0,3.114
2024-05-18 11:04:44.874000128,15.18,2000.0,25.0,5.0,3.036
2024-05-18 11:04:45.874000128,16.03,2000.0,25.0,5.0,3.2060000000000004
2024-05-18 11:04:46.874000128,14.92,2000.0,25.0,5.0,2.984
2024-05-18 11:04:47.874000128,16.13,2000.0,25.0,5.0,3.226
2024-05-18 11:04:48.874000128,16.27,2000.0,25.0,5.0,3.254
2024-05-18 11:04:49.874000128,16.08,2000.0,25.0,5.0,3.2159999999999997
2024-05-18 11:04:50.874000128,17.21,2000.0,25.0,5.0,3.442
2024-05-18 11:04:51.874000128,17.66,2000.0,25.0,5.0,3.532
2024-05-18 11:04:52.874000128,17.72,2000.0,25.0,5.0,3.5439999999999996
2024-05-18 11:04:53.874000128,16.62,2000.0,25.0,5.0,3.3240000000000003
2024-05-18 11:04:54.874000128,17.23,2000.0,25.0,5.0,3.446
2024-05-18 11:04:55.874000128,17.18,2000.0,25.0,5.0,3.436
2024-05-18 11:04:56.874000128,17.56,2000.0,25.0,5.0,3.5119999999999996
2024-05-18 11:04:57.874000128,17.53,2000.0,25.0,5.0,3.5060000000000002
2024-05-18 11:04:58.874000128,17.77,2000.0,25.0,5.0,3.554
2024-05-18 11:04:59.874000128,17.27,2000.0,25.0,5.0,3.4539999999999997
2024-05-18 11:05:00.874000128,17.25,2000.0,25.0,5.0,3.45
2024-05-18 11:05:01.874000128,17.04,2000.0,25.0,5.0,3.408
2024-05-18 11:05:02.874000128,16.94,2000.0,25.0,5.0,3.3880000000000003
2024-05-18 11:05:03.874000128,16.67,2000.0,25.0,5.0,3.3340000000000005
2024-05-18 11:05:04.874000128,17.74,2000.0,25.0,5.0,3.5479999999999996
2024-05-18 11:05:05.874000128,16.92,2000.0,25.0,5.0,3.3840000000000003
2024-05-18 11:05:06.874000128,17.27,2000.0,25.0,5.0,3.4539999999999997
2024-05-18 11:05:07.874000128,17.27,2000.0,25.0,5.0,3.4539999999999997
2024-05-18 11:05:08.874000128,16.78,2000.0,25.0,5.0,3.3560000000000003
2024-05-18 11:05:09.874000128,16.78,2000.0,25.0,5.0,3.3560000000000003
2024-05-18 11:05:10.874000128,16.87,2000.0,25.0,5.0,3.374
2024-05-18 11:05:11.874000128,16.88,2000.0,25.0,5.0,3.376
2024-05-18 11:05:12.874000128,17.81,2000.0,25.0,5.0,3.562
2024-05-18 11:05:13.874000128,16.17,2000.0,25.0,5.0,3.2340000000000004
2024-05-18 11:05:14.874000128,15.66,2000.0,25.0,5.0,3.132
2024-05-18 11:05:15.874000128,15.99,2000.0,25.0,5.0,3.198
2024-05-18 11:05:16.874000128,15.6,2000.0,25.0,5.0,3.12
2024-05-18 11:05:17.874000128,17.81,2000.0,25.0,5.0,3.562
2024-05-18 11:05:18.874000128,17.39,2000.0,25.0,5.0,3.478
2024-05-18 11:05:19.874000128,16.56,2000.0,25.0,5.0,3.312
2024-05-18 11:05:20.874000128,17.4,2000.0,25.0,5.0,3.4799999999999995
2024-05-18 11:05:21.874000128,16.91,2000.0,30.0,5.0,3.382
2024-05-18 11:05:22.874000128,16.87,2000.0,30.0,5.0,3.374
2024-05-18 11:05:23.874000128,16.73,2000.0,30.0,5.0,3.346
2024-05-18 11:05:24.874000128,15.34,2000.0,30.0,5.0,3.068
2024-05-18 11:05:25.874000128,15.19,2000.0,30.0,5.0,3.038
2024-05-18 11:05:26.874000128,21.45,2000.0,30.0,5.0,4.29
2024-05-18 11:05:27.874000128,17.63,2000.0,30.0,5.0,3.526
2024-05-18 11:05:28.874000128,14.84,2000.0,30.0,5.0,2.968
2024-05-18 11:05:29.874000128,16.51,2000.0,30.0,5.0,3.3020000000000005
2024-05-18 11:05:30.874000128,15.16,2000.0,30.0,5.0,3.032
2024-05-18 11:05:31.874000128,15.27,2000.0,30.0,5.0,3.054
2024-05-18 11:05:32.874000128,17.04,2000.0,30.0,5.0,3.408
2024-05-18 11:05:33.874000128,17.08,2000.0,30.0,5.0,3.4159999999999995
2024-05-18 11:05:34.874000128,17.31,2000.0,30.0,5.0,3.4619999999999997
2024-05-18 11:05:35.874000128,17.44,2000.0,30.0,5.0,3.4880000000000004
2024-05-18 11:05:36.874000128,17.64,2000.0,30.0,5.0,3.528
2024-05-18 11:05:37.874000128,17.97,2000.0,30.0,5.0,3.594
2024-05-18 11:05:38.874000128,17.6,2000.0,30.0,5.0,3.5200000000000005
2024-05-18 11:05:39.874000128,17.77,2000.0,30.0,5.0,3.554
2024-05-18 11:05:40.874000128,17.63,2000.0,30.0,5.0,3.526
2024-05-18 11:05:41.874000128,17.23,2000.0,30.0,5.0,3.446
2024-05-18 11:05:42.874000128,17.19,2000.0,30.0,5.0,3.438
2024-05-18 11:05:43.874000128,17.56,2000.0,30.0,5.0,3.5119999999999996
2024-05-18 11:05:44.874000128,17.65,2000.0,30.0,5.0,3.53
2024-05-18 11:05:45.874000128,17.61,2000.0,30.0,5.0,3.522
